X-Values,Y1-Values,Y2-Values,Y3 Values,Y4 Values
0,0,0,0,0
0,0.43,0,0,0.48
0.01,0.43,0,0,0.48
0.01,0,0,0,0
0.01,-0.603450965,0.87543584,0,0
0.66312883,-0.603450965,0.87543584,0,0
0.66312883,0,0,0,0
0.66312883,-0.87036878,0.41894529,0,0
16.46529978,-0.87036878,0.41894529,0,0
16.46529978,0,0,0,0
16.46529978,-0.953848181,0.421209404,0,0
111.9364855,-0.953848181,0.421209404,0,0
111.9364855,0,0,0,0
111.9364855,-0.979354166,0.211558085,0,0
114.8674004,-0.979354166,0.211558085,0,0
114.8674004,0,0,0,0
114.8674004,-1.671659441,-0.017779778,0,0
120.4187609,-1.671659441,-0.017779778,0,0
120.4187609,0,0,0,0
120.4187609,-2.160047528,0.189484401,0,0
176.4341786,-2.160047528,0.189484401,0,0
176.4341786,0,0,0,0
176.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
177.4341786,0,0,0,0
